Country,State,Year,City name,Type of impacting vehicles or objects,Number of road accidents,Number of persons killed in road accidents ,Number of grievously injured persons,Number of minor injured persons
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Auto Rickshaws,152,36,2,168
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Trucks/Lorries,36,11,24,11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Bicycles,53,15,0,43
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Trucks/Lorries,16,6,3,0
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Others,42,10,30,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Trucks/Lorries,70,14,56,13
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Pedestrian,34,12,2,23
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Other Non-motorized vehicle (E-rickshaw etc.),11,11,0,3
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Auto Rickshaws,138,6,114,41
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Auto Rickshaws,16,7,1,20
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Bicycles,12,3,3,5
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Other Non-motorized vehicle (E-rickshaw etc.),17,2,0,13
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Trucks/Lorries,95,19,62,23
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Buses,18,6,3,80
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Buses,12,8,8,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Bicycles,22,2,17,4
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Bicycles,15,9,3,2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Auto Rickshaws,15,3,0,10
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,"Cars, Taxis, Vans & LMV",725,57,537,342
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Auto Rickshaws,136,52,48,43
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Bicycles,23,9,12,3
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,"Cars, Taxis, Vans & LMV",215,53,12,230
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Pedestrian,3,0,5,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,"Cars, Taxis, Vans & LMV",590,55,549,103
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,"Cars, Taxis, Vans & LMV",45,1,0,42
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Bicycles,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Buses,3,1,2,2
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Others,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Pedestrian,12,2,2,7
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Pedestrian,267,72,74,144
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,"Cars, Taxis, Vans & LMV",48,10,9,31
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Bicycles,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Buses,150,37,111,22
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Pedestrian,0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Pedestrian,361,82,240,57
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Bicycles,32,18,19,5
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Buses,5,3,5,0
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Buses,66,1,32,55
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Other Non-motorized vehicle (E-rickshaw etc.),23,0,2,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Trucks/Lorries,15,2,0,12
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Bicycles,8,4,2,2
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Auto Rickshaws,277,29,247,82
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Others,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Other Non-motorized vehicle (E-rickshaw etc.),7,1,2,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Bicycles,20,6,13,4
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Others,46,5,37,5
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Two Wheelers,229,82,110,92
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Others,6,1,2,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Auto Rickshaws,5,4,4,3
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Others,6,0,0,8
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Auto Rickshaws,178,10,142,46
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,"Cars, Taxis, Vans & LMV",38,5,8,7
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Two Wheelers,562,146,265,141
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Bicycles,7,7,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Other Non-motorized vehicle (E-rickshaw etc.),35,8,20,7
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Other Non-motorized vehicle (E-rickshaw etc.),4,4,0,3
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Auto Rickshaws,20,5,13,8
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Others,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Trucks/Lorries,48,8,0,18
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Trucks/Lorries,81,4,13,25
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Trucks/Lorries,51,6,9,1
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Others,19,1,17,4
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Auto Rickshaws,281,51,51,240
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Others,197,84,24,20
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Trucks/Lorries,22,20,17,5
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Trucks/Lorries,3,2,0,2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Buses,16,5,19,8
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Other Non-motorized vehicle (E-rickshaw etc.),57,11,1,69
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Others,19,6,23,2
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Bicycles,0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Others,35,22,68,0
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Trucks/Lorries,26,4,5,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,"Cars, Taxis, Vans & LMV",18,7,11,3
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Buses,5,2,3,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,"Cars, Taxis, Vans & LMV",113,56,11,55
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,"Cars, Taxis, Vans & LMV",150,17,0,175
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Trucks/Lorries,6,2,0,4
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Bicycles,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Pedestrian,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Two Wheelers,312,89,138,112
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Pedestrian,1352,272,783,414
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Bicycles,35,9,21,5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Auto Rickshaws,85,9,79,47
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Trucks/Lorries,17,8,8,4
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Two Wheelers,239,81,33,187
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Pedestrian,404,94,251,70
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Auto Rickshaws,11,3,0,20
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Others,30,9,6,5
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Buses,7,1,1,16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Buses,28,2,21,9
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Others,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Bicycles,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Other Non-motorized vehicle (E-rickshaw etc.),24,17,19,0
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Bicycles,26,5,15,6
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Pedestrian,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Bicycles,12,9,2,1
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Pedestrian,105,40,48,23
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Two Wheelers,766,174,353,204
